product_id,product_name,category,stock_level,cost_price,selling_price,reorder_point,supplier_rating
P-165,Widget Model N65,Perishable,65,183.56,310.35,49,3.1
P-166,Widget Model O66,Hardware,462,125.18,188.53,20,3.4
P-167,Widget Model P67,Software,455,53.03,87.06,48,3.0
P-168,Widget Model Q68,Software,369,139.68,210.6,40,4.2
P-169,Widget Model R69,Software,351,121.37,208.97,26,3.2
P-170,Widget Model S70,Perishable,167,102.81,148.22,42,4.7
P-171,Widget Model T71,Accessory,355,195.36,348.16,41,4.0
P-172,Widget Model U72,Software,147,138.27,243.27,38,4.4
P-173,Widget Model V73,Accessory,404,78.21,128.65,30,3.8
P-174,Widget Model W74,Software,257,161.01,220.21,30,4.1
P-175,Widget Model X75,Software,273,177.49,227.01,49,4.9
P-176,Widget Model Y76,Perishable,373,29.42,50.39,32,3.2
P-177,Widget Model Z77,Hardware,295,44.11,57.31,15,3.5
P-178,Widget Model A78,Perishable,463,47.16,80.76,31,4.6
P-179,Widget Model B79,Software,191,139.79,208.91,47,3.2
P-180,Widget Model C80,Software,409,122.59,177.01,46,3.2
P-181,Widget Model D81,Hardware,442,125.7,218.96,17,3.7
P-182,Widget Model E82,Accessory,463,188.45,294.42,44,3.2
P-183,Widget Model F83,Accessory,418,156.3,241.63,20,4.2
P-184,Widget Model G84,Software,308,29.95,45.98,33,3.5
P-185,Widget Model H85,Accessory,295,72.76,103.52,30,4.8
P-186,Widget Model I86,Software,90,89.9,150.26,11,4.6
P-187,Widget Model J87,Hardware,170,82.21,111.12,49,4.4
P-188,Widget Model K88,Hardware,419,135.52,238.97,28,4.2
P-189,Widget Model L89,Software,466,178.92,310.68,48,4.7
P-190,Widget Model M90,Hardware,412,64.68,90.71,37,3.4
P-191,Widget Model N91,Perishable,118,112.62,184.44,26,4.7
P-192,Widget Model O92,Perishable,437,158.93,245.38,15,4.6
P-193,Widget Model P93,Hardware,484,86.16,120.85,28,4.5
P-194,Widget Model Q94,Software,360,37.78,67.74,47,4.1
P-195,Widget Model R95,Software,420,97.62,118.62,37,3.5
P-196,Widget Model S96,Hardware,187,15.77,21.31,11,3.8
P-197,Widget Model T97,Accessory,211,188.76,285.41,47,4.6
P-198,Widget Model U98,Perishable,260,19.59,29.64,46,3.1
P-199,Widget Model V99,Accessory,239,90.5,140.58,13,4.6
