date,customer_id,product_category,quantity,unit_price,region,revenue,cost
2026-01-09,C-575,Electronics,1,33.9,West,33.9,14.51
2026-01-09,C-799,Apparel,6,270.98,South,1625.88,931.88
2026-01-09,C-882,Electronics,2,481.44,West,962.88,638.53
2026-01-10,C-289,Beauty,8,63.64,South,509.12,269.9
2026-01-10,C-786,Beauty,5,448.3,East,2241.5,1004.76
2026-01-10,C-662,Electronics,7,495.82,South,3470.74,1969.34
2026-01-10,C-975,Beauty,2,40.14,West,80.28,51.66
2026-01-10,C-666,Beauty,8,442.62,North,3540.96,2204.3
2026-01-11,C-343,Beauty,2,262.88,South,525.76,349.33
2026-01-11,C-931,Home,4,454.19,East,1816.76,878.17
2026-01-11,C-604,Office,1,289.95,South,289.95,132.85
2026-01-11,C-230,Apparel,5,334.43,South,1672.15,1110.22
2026-01-11,C-584,Home,9,276.45,South,2488.05,1486.03
2026-01-12,C-918,Beauty,1,433.6,East,433.6,213.89
2026-01-12,C-746,Electronics,9,369.62,West,3326.58,2071.48
2026-01-12,C-120,Beauty,8,265.42,South,2123.36,1368.58
2026-01-12,C-940,Office,6,435.4,South,2612.4,1526.93
2026-01-12,C-266,Beauty,7,130.19,North,911.33,552.6
2026-01-13,C-373,Electronics,3,87.1,East,261.3,133.94
2026-01-13,C-487,Office,1,88.6,South,88.6,49.76
2026-01-13,C-700,Beauty,5,173.66,East,868.3,483.86
2026-01-13,C-415,Office,2,126.96,South,253.92,166.17
2026-01-13,C-113,Apparel,5,465.74,West,2328.7,1518.29
2026-01-14,C-341,Apparel,8,61.86,West,494.88,321.58
2026-01-14,C-876,Beauty,9,352.51,South,3172.59,1279.54
2026-01-14,C-445,Office,2,102.72,West,205.44,128.37
2026-01-14,C-664,Electronics,3,442.0,South,1326.0,832.2
2026-01-14,C-997,Beauty,3,481.04,West,1443.12,870.94
2026-01-15,C-439,Apparel,1,238.08,North,238.08,149.25
2026-01-15,C-191,Apparel,8,440.75,North,3526.0,2301.04
2026-01-15,C-466,Beauty,6,12.52,North,75.12,40.65
2026-01-15,C-554,Office,8,411.77,East,3294.16,1813.81
2026-01-15,C-527,Apparel,9,122.03,East,1098.27,480.4
2026-01-16,C-608,Office,5,455.26,North,2276.3,1173.69
2026-01-16,C-875,Apparel,3,10.55,East,31.65,18.77
2026-01-16,C-134,Apparel,5,282.53,West,1412.65,895.79
2026-01-16,C-305,Home,5,380.75,South,1903.75,885.55
2026-01-16,C-180,Apparel,5,136.76,South,683.8,301.79
2026-01-17,C-661,Electronics,3,104.64,South,313.92,188.01
2026-01-17,C-971,Beauty,4,51.21,North,204.84,82.05
2026-01-17,C-487,Beauty,9,169.95,East,1529.55,693.67
2026-01-17,C-101,Office,9,284.32,West,2558.88,1045.87
2026-01-17,C-489,Apparel,2,66.76,West,133.52,60.09
2026-01-18,C-665,Electronics,8,194.58,North,1556.64,707.33
2026-01-18,C-205,Office,8,14.45,West,115.6,59.68
2026-01-18,C-871,Home,7,411.15,West,2878.05,1498.6
2026-01-18,C-921,Office,8,72.94,West,583.52,386.45
2026-01-18,C-576,Office,3,148.84,West,446.52,246.94
2026-01-19,C-802,Apparel,6,19.03,East,114.18,70.45
2026-01-19,C-501,Home,1,221.8,West,221.8,95.65
2026-01-19,C-829,Office,7,421.66,South,2951.62,1380.27
2026-01-19,C-655,Electronics,1,202.15,North,202.15,123.49
2026-01-19,C-261,Electronics,9,97.95,East,881.55,366.58
2026-01-20,C-301,Beauty,1,379.31,West,379.31,207.1
2026-01-20,C-369,Home,1,396.52,East,396.52,229.91
2026-01-20,C-962,Home,7,95.14,West,665.98,386.7
2026-01-20,C-915,Beauty,2,387.72,South,775.44,315.51
2026-01-20,C-370,Office,5,474.18,North,2370.9,1177.47
2026-01-21,C-555,Home,8,91.53,West,732.24,432.72
2026-01-21,C-561,Electronics,8,387.78,West,3102.24,1379.57
2026-01-21,C-826,Electronics,3,357.2,West,1071.6,652.2
2026-01-21,C-351,Apparel,7,242.05,West,1694.35,1056.9
2026-01-21,C-801,Home,3,38.38,North,115.14,79.98
2026-01-22,C-395,Office,6,46.6,North,279.6,129.44
2026-01-22,C-824,Beauty,6,427.68,South,2566.08,1661.64
2026-01-22,C-819,Beauty,3,495.17,North,1485.51,826.08
2026-01-22,C-848,Office,7,341.27,West,2388.89,1223.2
2026-01-22,C-437,Apparel,3,228.52,South,685.56,299.39
2026-01-23,C-978,Beauty,8,327.31,South,2618.48,1625.16
2026-01-23,C-152,Home,4,301.25,South,1205.0,567.26
2026-01-23,C-891,Apparel,1,197.97,West,197.97,101.25
2026-01-23,C-316,Home,4,42.16,East,168.64,70.62
2026-01-23,C-863,Electronics,7,412.54,West,2887.78,1849.36
2026-01-24,C-287,Apparel,4,192.2,North,768.8,484.33
2026-01-24,C-479,Beauty,6,411.2,North,2467.2,1529.87
2026-01-24,C-592,Apparel,9,133.73,West,1203.57,589.55
2026-01-24,C-140,Apparel,1,10.5,West,10.5,4.75
2026-01-24,C-256,Apparel,5,87.88,South,439.4,259.8
2026-01-25,C-114,Apparel,7,239.58,West,1677.06,920.45
2026-01-25,C-912,Home,1,472.71,South,472.71,214.36
2026-01-25,C-164,Electronics,4,60.07,North,240.28,145.56
2026-01-25,C-956,Office,6,428.56,South,2571.36,1793.11
2026-01-25,C-938,Apparel,2,268.24,West,536.48,334.85
2026-01-26,C-620,Beauty,5,414.7,North,2073.5,1289.71
2026-01-26,C-443,Apparel,1,156.2,East,156.2,107.01
2026-01-26,C-228,Beauty,6,421.57,South,2529.42,1165.76
2026-01-26,C-747,Home,6,388.68,North,2332.08,1328.5
2026-01-26,C-571,Beauty,4,122.73,South,490.92,340.65
2026-01-27,C-162,Office,8,74.35,North,594.8,267.42
2026-01-27,C-238,Electronics,4,435.35,North,1741.4,1062.39
2026-01-27,C-598,Beauty,8,481.99,South,3855.92,2220.02
2026-01-27,C-692,Beauty,8,25.34,East,202.72,116.76
2026-01-27,C-491,Electronics,5,368.32,North,1841.6,1122.09
2026-01-28,C-774,Office,4,455.67,North,1822.68,1237.39
2026-01-28,C-518,Apparel,2,430.11,North,860.22,546.05
2026-01-28,C-388,Beauty,3,482.62,East,1447.86,603.53
2026-01-28,C-478,Electronics,3,382.45,East,1147.35,752.45
2026-01-28,C-872,Home,4,226.73,West,906.92,424.13
2026-01-29,C-589,Electronics,4,162.86,South,651.44,334.24
2026-01-29,C-330,Home,5,167.16,East,835.8,450.09
2026-01-29,C-140,Office,4,364.97,South,1459.88,794.57
2026-01-29,C-127,Apparel,8,375.46,West,3003.68,1593.61
2026-01-29,C-234,Electronics,6,108.18,South,649.08,442.16
2026-01-30,C-300,Beauty,6,435.38,East,2612.28,1598.21
2026-01-30,C-939,Office,8,360.31,South,2882.48,1698.79
2026-01-30,C-879,Electronics,7,285.75,East,2000.25,830.01
2026-01-30,C-132,Beauty,8,241.05,South,1928.4,1294.29
2026-01-30,C-147,Electronics,2,276.18,East,552.36,371.64
2026-01-31,C-602,Home,9,88.03,East,792.27,502.35
2026-01-31,C-506,Electronics,1,109.81,South,109.81,44.16
2026-01-31,C-673,Electronics,8,54.67,West,437.36,182.46
2026-01-31,C-827,Electronics,4,85.29,North,341.16,159.52
2026-01-31,C-904,Office,4,232.31,West,929.24,408.31
2026-02-01,C-198,Electronics,5,269.87,South,1349.35,701.19
2026-02-01,C-783,Beauty,8,18.75,West,150.0,101.52
2026-02-01,C-971,Home,5,400.43,East,2002.15,1084.4
2026-02-01,C-825,Home,8,154.14,North,1233.12,498.21
2026-02-01,C-646,Electronics,1,456.8,South,456.8,221.47
2026-02-02,C-838,Office,9,484.08,South,4356.72,1800.97
2026-02-02,C-712,Office,6,100.87,South,605.22,248.68
2026-02-02,C-561,Beauty,3,236.43,North,709.29,342.39
2026-02-02,C-742,Electronics,8,10.6,East,84.8,40.93
2026-02-02,C-868,Home,9,303.18,South,2728.62,1735.78
2026-02-03,C-104,Office,6,307.58,West,1845.48,1277.9
2026-02-03,C-317,Electronics,7,131.29,South,919.03,469.96
2026-02-03,C-602,Office,1,283.62,South,283.62,149.94
2026-02-03,C-866,Office,5,120.51,South,602.55,393.73
2026-02-03,C-497,Home,5,88.8,South,444.0,213.32
2026-02-04,C-970,Apparel,4,329.24,East,1316.96,588.57
2026-02-04,C-894,Beauty,6,169.7,West,1018.2,667.86
2026-02-04,C-492,Beauty,7,299.23,East,2094.61,867.06
2026-02-04,C-306,Home,9,222.29,West,2000.61,1172.18
2026-02-04,C-114,Office,1,492.33,South,492.33,279.94
2026-02-05,C-957,Electronics,6,83.29,North,499.74,251.76
2026-02-05,C-653,Office,7,237.65,East,1663.55,822.72
2026-02-05,C-991,Home,3,343.42,North,1030.26,650.67
2026-02-05,C-560,Beauty,8,203.82,East,1630.56,694.5
2026-02-05,C-790,Office,5,487.6,South,2438.0,1148.38
2026-02-06,C-674,Beauty,9,363.72,East,3273.48,2028.69
2026-02-06,C-963,Electronics,5,331.92,South,1659.6,936.84
2026-02-06,C-842,Beauty,9,380.96,East,3428.64,1503.1
2026-02-06,C-340,Beauty,4,476.8,South,1907.2,1267.6
2026-02-06,C-663,Apparel,9,454.83,South,4093.47,2120.56
2026-02-07,C-195,Apparel,5,364.9,West,1824.5,1182.93
2026-02-07,C-833,Apparel,9,377.09,South,3393.81,2159.53
2026-02-07,C-584,Beauty,3,81.5,West,244.5,143.6
2026-02-07,C-506,Home,4,60.37,South,241.48,132.41
2026-02-07,C-330,Beauty,9,289.74,North,2607.66,1809.36
2026-02-08,C-848,Home,6,19.0,South,114.0,50.56
2026-02-08,C-754,Home,2,246.35,North,492.7,304.27
2026-02-08,C-270,Apparel,7,113.07,North,791.49,361.99
2026-02-08,C-640,Office,2,179.55,South,359.1,180.08
2026-02-08,C-135,Electronics,2,390.14,North,780.28,384.37
2026-02-09,C-624,Apparel,1,471.21,West,471.21,322.36
2026-02-09,C-259,Apparel,3,45.48,East,136.44,94.17
2026-02-09,C-938,Office,6,271.78,South,1630.68,741.8
2026-02-09,C-798,Electronics,8,442.44,North,3539.52,1439.21
2026-02-09,C-342,Beauty,9,50.43,South,453.87,279.59
2026-02-10,C-185,Beauty,7,414.01,West,2898.07,1522.64
2026-02-10,C-895,Apparel,4,185.32,South,741.28,316.27
2026-02-10,C-677,Electronics,6,167.83,South,1006.98,609.35
2026-02-10,C-781,Apparel,5,488.96,North,2444.8,1377.72
2026-02-10,C-656,Home,8,108.42,West,867.36,602.08
2026-02-11,C-673,Apparel,1,349.67,East,349.67,163.72
2026-02-11,C-745,Apparel,1,412.51,East,412.51,215.0
2026-02-11,C-895,Beauty,6,30.18,North,181.08,101.91
2026-02-11,C-127,Beauty,2,338.49,South,676.98,431.58
2026-02-11,C-719,Beauty,5,476.26,North,2381.3,1344.6
2026-02-12,C-655,Home,1,70.87,North,70.87,41.38
2026-02-12,C-439,Beauty,7,449.15,North,3144.05,1470.93
2026-02-12,C-897,Electronics,1,301.44,South,301.44,197.16
2026-02-12,C-430,Office,4,312.14,West,1248.56,659.98
2026-02-12,C-739,Electronics,9,310.34,North,2793.06,1235.34
2026-02-13,C-605,Electronics,1,156.43,South,156.43,93.74
2026-02-13,C-447,Beauty,4,468.25,West,1873.0,870.62
2026-02-13,C-572,Office,6,474.2,North,2845.2,1221.36
2026-02-13,C-330,Office,6,316.4,East,1898.4,1250.28
2026-02-13,C-289,Office,8,393.88,West,3151.04,1695.41
2026-02-14,C-324,Home,1,310.01,North,310.01,193.69
2026-02-14,C-484,Beauty,7,247.36,West,1731.52,843.56
2026-02-14,C-476,Office,1,333.8,West,333.8,212.33
2026-02-14,C-382,Home,7,280.97,West,1966.79,852.76
2026-02-14,C-732,Apparel,3,302.76,West,908.28,460.31
2026-02-15,C-727,Apparel,8,394.08,West,3152.64,2186.1
2026-02-15,C-844,Home,3,245.64,West,736.92,470.3
2026-02-15,C-358,Home,1,29.97,North,29.97,16.46
2026-02-15,C-458,Beauty,8,90.36,East,722.88,362.84
2026-02-15,C-809,Beauty,3,224.92,South,674.76,446.45
2026-02-16,C-555,Apparel,2,365.17,West,730.34,411.51
2026-02-16,C-510,Office,1,300.71,South,300.71,188.7
2026-02-16,C-748,Apparel,3,328.64,North,985.92,617.41
2026-02-16,C-417,Office,2,244.85,West,489.7,198.52
2026-02-16,C-776,Office,2,311.71,East,623.42,272.98
2026-02-17,C-324,Beauty,6,171.22,South,1027.32,614.22
2026-02-17,C-918,Electronics,1,240.39,West,240.39,107.81
2026-02-17,C-333,Electronics,2,374.7,North,749.4,357.2
2026-02-17,C-783,Home,6,437.2,East,2623.2,1794.25
2026-02-17,C-763,Beauty,3,222.49,South,667.47,379.16
2026-02-18,C-926,Office,4,31.39,South,125.56,78.5
2026-02-18,C-473,Electronics,1,89.22,West,89.22,50.62
2026-02-18,C-771,Office,8,20.22,East,161.76,91.52
2026-02-18,C-707,Electronics,7,330.1,East,2310.7,989.55
2026-02-18,C-571,Electronics,7,172.83,East,1209.81,608.65
2026-02-19,C-332,Electronics,3,275.81,East,827.43,401.08
2026-02-19,C-791,Beauty,3,251.71,North,755.13,390.57
2026-02-19,C-212,Apparel,2,49.95,East,99.9,63.89
2026-02-19,C-929,Office,1,207.6,South,207.6,106.2
2026-02-19,C-596,Beauty,7,118.07,South,826.49,442.59
2026-02-20,C-541,Beauty,7,215.02,North,1505.14,781.49
2026-02-20,C-663,Beauty,2,109.75,South,219.5,93.95
2026-02-20,C-367,Beauty,7,421.82,South,2952.74,1571.81
2026-02-20,C-609,Beauty,8,95.35,East,762.8,349.88
2026-02-20,C-906,Home,1,480.78,South,480.78,219.24
2026-02-21,C-485,Office,9,213.79,North,1924.11,823.92
2026-02-21,C-486,Beauty,7,424.66,East,2972.62,1507.12
2026-02-21,C-212,Office,3,318.09,West,954.27,598.56
2026-02-21,C-712,Home,8,370.32,East,2962.56,1430.72
2026-02-21,C-724,Home,7,386.18,North,2703.26,1334.61
2026-02-22,C-180,Office,8,257.37,East,2058.96,1220.56
2026-02-22,C-798,Electronics,6,276.22,East,1657.32,760.3
2026-02-22,C-212,Apparel,9,261.86,North,2356.74,1576.86
2026-02-22,C-101,Electronics,5,298.15,East,1490.75,828.94
2026-02-22,C-741,Electronics,3,24.4,North,73.2,39.11
2026-02-23,C-319,Electronics,3,203.8,North,611.4,346.88
2026-02-23,C-665,Beauty,1,307.03,West,307.03,138.11
2026-02-23,C-954,Home,8,302.88,South,2423.04,1415.16
2026-02-23,C-835,Electronics,2,398.55,South,797.1,405.67
2026-02-23,C-324,Home,3,330.95,East,992.85,664.37
2026-02-24,C-484,Office,8,496.15,East,3969.2,1788.74
2026-02-24,C-502,Apparel,8,149.09,West,1192.72,658.52
2026-02-24,C-737,Office,4,185.98,West,743.92,431.05
2026-02-24,C-229,Office,4,198.09,West,792.36,324.88
2026-02-24,C-152,Beauty,5,238.25,North,1191.25,606.47
2026-02-25,C-783,Apparel,6,419.64,West,2517.84,1560.53
2026-02-25,C-829,Office,5,125.54,West,627.7,405.57
2026-02-25,C-771,Office,7,390.24,East,2731.68,1349.31
2026-02-25,C-809,Apparel,2,208.6,West,417.2,266.83
2026-02-25,C-515,Apparel,7,304.91,North,2134.37,1473.41
2026-02-26,C-346,Office,7,319.94,North,2239.58,1471.54
2026-02-26,C-935,Apparel,1,192.7,East,192.7,83.88
2026-02-26,C-538,Office,7,261.18,West,1828.26,1137.03
2026-02-26,C-302,Office,5,212.39,West,1061.95,526.62
2026-02-26,C-283,Beauty,3,43.88,North,131.64,91.69
2026-02-27,C-222,Electronics,3,224.21,West,672.63,366.99
2026-02-27,C-500,Office,4,57.72,West,230.88,100.83
2026-02-27,C-866,Home,2,208.46,West,416.92,257.47
2026-02-27,C-393,Electronics,2,300.53,South,601.06,298.67
2026-02-27,C-379,Electronics,1,293.91,East,293.91,205.48
2026-02-28,C-936,Electronics,5,334.68,South,1673.4,1161.23
2026-02-28,C-983,Beauty,4,56.68,East,226.72,135.32
2026-02-28,C-709,Office,2,329.54,North,659.08,289.3
2026-02-28,C-297,Beauty,3,162.95,West,488.85,296.27
2026-02-28,C-610,Office,7,205.53,East,1438.71,615.64
2026-03-01,C-851,Beauty,7,430.41,South,3012.87,1231.69
2026-03-01,C-243,Beauty,4,14.42,West,57.68,37.31
2026-03-01,C-708,Home,5,298.32,North,1491.6,690.5
2026-03-01,C-300,Beauty,5,303.37,East,1516.85,779.22
2026-03-01,C-223,Apparel,6,204.36,East,1226.16,848.55
2026-03-02,C-286,Home,9,126.14,East,1135.26,568.82
2026-03-02,C-425,Beauty,2,124.99,West,249.98,122.23
2026-03-02,C-563,Electronics,5,443.02,South,2215.1,1496.22
2026-03-02,C-448,Apparel,3,226.59,South,679.77,294.49
2026-03-02,C-870,Apparel,4,172.14,East,688.56,432.33
2026-03-03,C-759,Apparel,6,229.9,North,1379.4,960.64
2026-03-03,C-863,Home,8,338.0,North,2704.0,1812.73
2026-03-03,C-502,Beauty,1,81.42,South,81.42,48.49
2026-03-03,C-445,Beauty,8,230.22,North,1841.76,910.23
2026-03-03,C-610,Electronics,7,298.06,South,2086.42,993.75
2026-03-04,C-246,Electronics,1,474.81,East,474.81,306.62
2026-03-04,C-247,Apparel,2,133.74,South,267.48,177.59
2026-03-04,C-963,Electronics,3,186.03,South,558.09,311.21
2026-03-04,C-810,Home,1,195.89,East,195.89,92.72
2026-03-04,C-919,Beauty,9,306.71,North,2760.39,1197.69
2026-03-05,C-588,Apparel,8,184.8,South,1478.4,630.03
2026-03-05,C-739,Electronics,2,271.42,South,542.84,334.24
2026-03-05,C-650,Home,9,393.08,East,3537.72,1860.97
2026-03-05,C-437,Home,7,355.64,North,2489.48,1671.95
2026-03-05,C-971,Electronics,9,228.72,South,2058.48,1280.17
2026-03-06,C-740,Beauty,6,433.47,East,2600.82,1189.56
2026-03-06,C-878,Electronics,6,283.49,South,1700.94,993.58
2026-03-06,C-572,Apparel,4,274.55,West,1098.2,582.76
2026-03-06,C-250,Electronics,2,26.75,East,53.5,30.66
2026-03-06,C-514,Home,7,493.48,North,3454.36,2146.61
2026-03-07,C-397,Electronics,5,70.26,North,351.3,225.48
2026-03-07,C-710,Beauty,6,123.25,North,739.5,482.98
2026-03-07,C-362,Office,2,35.33,North,70.66,33.65
2026-03-07,C-863,Electronics,5,323.6,South,1618.0,662.3
2026-03-07,C-243,Beauty,4,120.1,South,480.4,298.71
2026-03-08,C-445,Beauty,9,98.21,North,883.89,381.75
2026-03-08,C-723,Home,6,53.39,North,320.34,158.4
2026-03-08,C-671,Beauty,2,60.62,North,121.24,48.63
2026-03-08,C-980,Beauty,1,296.49,South,296.49,179.23
2026-03-08,C-101,Beauty,5,347.22,North,1736.1,781.49
2026-03-09,C-996,Beauty,9,204.72,North,1842.48,1099.2
2026-03-09,C-403,Apparel,6,245.15,West,1470.9,1025.99
2026-03-09,C-353,Apparel,7,346.12,West,2422.84,1021.96
2026-03-09,C-751,Home,5,18.52,North,92.6,39.18
2026-03-09,C-552,Electronics,6,168.33,East,1009.98,507.13
2026-03-10,C-136,Beauty,5,486.82,North,2434.1,1606.3
2026-03-10,C-259,Electronics,9,294.25,West,2648.25,1230.53
2026-03-10,C-108,Electronics,6,134.57,East,807.42,410.26
2026-03-10,C-332,Home,8,265.65,East,2125.2,893.76
2026-03-10,C-198,Beauty,2,177.9,North,355.8,223.78
2026-03-11,C-758,Beauty,9,270.8,West,2437.2,1273.42
2026-03-11,C-915,Office,5,71.61,West,358.05,224.77
2026-03-11,C-307,Electronics,7,75.03,East,525.21,352.46
2026-03-11,C-230,Electronics,1,80.34,North,80.34,37.75
2026-03-11,C-503,Apparel,5,470.51,South,2352.55,1510.85
2026-03-12,C-251,Office,2,369.12,South,738.24,308.38
2026-03-12,C-153,Apparel,6,89.57,West,537.42,359.89
2026-03-12,C-219,Apparel,1,102.29,South,102.29,60.89
2026-03-12,C-772,Apparel,3,368.11,West,1104.33,731.36
2026-03-12,C-727,Home,5,86.52,West,432.6,173.06
2026-03-13,C-686,Home,4,124.94,West,499.76,225.25
2026-03-13,C-724,Apparel,3,482.04,South,1446.12,747.54
2026-03-13,C-519,Office,5,135.1,West,675.5,347.11
2026-03-13,C-521,Electronics,8,334.2,East,2673.6,1251.3
2026-03-13,C-203,Office,4,489.53,North,1958.12,1007.42
2026-03-14,C-951,Beauty,1,193.41,North,193.41,84.84
2026-03-14,C-353,Home,7,18.58,West,130.06,68.13
2026-03-14,C-326,Electronics,8,129.63,North,1037.04,664.44
2026-03-14,C-211,Electronics,3,417.13,South,1251.39,680.41
2026-03-14,C-609,Beauty,6,433.66,South,2601.96,1054.83
2026-03-15,C-572,Beauty,2,386.57,North,773.14,407.01
2026-03-15,C-198,Apparel,7,65.42,South,457.94,186.91
2026-03-15,C-252,Home,8,399.8,North,3198.4,2206.49
2026-03-15,C-960,Home,6,460.15,North,2760.9,1209.93
2026-03-15,C-995,Office,6,304.3,North,1825.8,1117.95
2026-03-16,C-977,Apparel,5,471.03,West,2355.15,1629.37
2026-03-16,C-437,Apparel,8,415.15,North,3321.2,2151.51
2026-03-16,C-805,Apparel,1,336.82,West,336.82,205.39
2026-03-16,C-921,Apparel,4,292.82,North,1171.28,763.49
2026-03-16,C-262,Home,4,180.8,North,723.2,502.29
2026-03-17,C-819,Home,3,88.05,North,264.15,154.9
2026-03-17,C-780,Apparel,3,306.43,South,919.29,521.93
2026-03-17,C-260,Office,4,165.87,West,663.48,390.44
2026-03-17,C-679,Electronics,1,434.55,West,434.55,243.26
2026-03-17,C-900,Electronics,2,496.74,North,993.48,586.68
2026-03-18,C-497,Office,9,378.69,North,3408.21,1823.23
2026-03-18,C-376,Apparel,2,54.34,South,108.68,50.59
2026-03-18,C-915,Home,5,151.46,South,757.3,330.24
2026-03-18,C-603,Electronics,9,63.46,South,571.14,240.17
2026-03-18,C-995,Beauty,9,328.75,West,2958.75,1417.23
2026-03-19,C-491,Beauty,8,384.94,West,3079.52,1274.42
2026-03-19,C-234,Office,1,463.58,West,463.58,264.31
2026-03-19,C-294,Apparel,1,224.7,North,224.7,109.01
2026-03-19,C-500,Electronics,9,451.67,West,4065.03,2631.54
2026-03-19,C-739,Apparel,8,440.17,East,3521.36,1486.97
2026-03-20,C-132,Electronics,9,165.43,East,1488.87,696.65
2026-03-20,C-787,Office,7,435.76,South,3050.32,1888.37
2026-03-20,C-559,Office,3,194.08,West,582.24,337.49
2026-03-20,C-982,Beauty,3,155.47,East,466.41,195.59
2026-03-20,C-569,Apparel,2,328.05,South,656.1,435.11
2026-03-21,C-474,Beauty,5,170.91,West,854.55,566.72
2026-03-21,C-121,Apparel,3,318.8,North,956.4,477.36
2026-03-21,C-849,Beauty,6,308.82,East,1852.92,930.39
2026-03-21,C-769,Home,2,286.09,North,572.18,398.64
2026-03-21,C-137,Home,3,196.41,West,589.23,346.38
2026-03-22,C-329,Home,5,278.76,East,1393.8,779.68
2026-03-22,C-464,Home,1,302.28,West,302.28,196.92
2026-03-22,C-662,Electronics,1,277.39,North,277.39,134.7
2026-03-22,C-537,Home,9,227.77,East,2049.93,1083.91
2026-03-22,C-875,Office,7,17.19,North,120.33,57.8
2026-03-23,C-382,Office,1,297.66,West,297.66,189.53
2026-03-23,C-126,Electronics,8,92.54,West,740.32,423.47
2026-03-23,C-325,Home,3,324.86,North,974.58,582.46
2026-03-23,C-376,Home,8,382.08,East,3056.64,1454.02
2026-03-23,C-897,Home,5,255.22,North,1276.1,594.75
2026-03-24,C-708,Beauty,1,275.76,West,275.76,150.71
2026-03-24,C-383,Apparel,7,476.22,North,3333.54,2071.03
2026-03-24,C-978,Beauty,5,425.11,West,2125.55,1185.15
2026-03-24,C-580,Apparel,6,457.98,North,2747.88,1126.06
2026-03-24,C-552,Home,6,408.75,East,2452.5,1620.04
2026-03-25,C-928,Home,8,63.37,East,506.96,212.62
2026-03-25,C-915,Beauty,9,83.01,North,747.09,513.06
2026-03-25,C-758,Beauty,2,268.05,North,536.1,218.48
2026-03-25,C-615,Apparel,9,130.57,East,1175.13,714.87
2026-03-25,C-646,Office,9,243.58,West,2192.22,930.95
2026-03-26,C-291,Apparel,7,203.24,East,1422.68,957.75
2026-03-26,C-148,Beauty,1,279.21,West,279.21,150.59
2026-03-26,C-611,Beauty,7,375.97,North,2631.79,1161.3
2026-03-26,C-116,Electronics,5,360.59,North,1802.95,905.52
2026-03-26,C-271,Beauty,6,265.4,West,1592.4,715.7
2026-03-27,C-319,Electronics,7,412.97,North,2890.79,1304.25
2026-03-27,C-257,Office,5,221.12,West,1105.6,756.71
2026-03-27,C-576,Apparel,7,449.39,South,3145.73,1678.48
2026-03-27,C-145,Apparel,9,44.93,East,404.37,257.44
2026-03-27,C-472,Electronics,3,477.78,South,1433.34,848.37
2026-03-28,C-617,Apparel,8,330.8,West,2646.4,1595.59
2026-03-28,C-198,Beauty,2,196.24,East,392.48,172.5
2026-03-28,C-991,Home,7,106.61,West,746.27,350.94
2026-03-28,C-844,Electronics,2,244.8,East,489.6,311.4
