customer_id,age,tenure_months,contract_type,monthly_charges,support_tickets,churn_flag,total_charges
C-1074,40,8,Month-to-Month,77.71,0,1,621.68
C-1075,57,26,Month-to-Month,55.71,3,1,1448.46
C-1076,28,71,One Year,98.75,5,0,7011.25
C-1077,65,30,One Year,45.1,6,0,1353.0
C-1078,49,7,One Year,76.41,6,0,534.87
C-1079,53,67,Month-to-Month,55.86,6,0,3742.62
C-1080,50,65,One Year,85.66,2,0,5567.9
C-1081,41,36,One Year,44.04,5,1,1585.44
C-1082,56,25,Two Year,39.16,7,0,979.0
C-1083,51,37,Month-to-Month,111.82,3,1,4137.34
C-1084,45,1,Two Year,30.18,7,1,30.18
C-1085,54,15,Two Year,70.6,1,0,1059.0
C-1086,24,37,One Year,42.09,9,0,1557.33
C-1087,21,13,Month-to-Month,23.89,8,0,310.57
C-1088,54,8,One Year,23.6,8,0,188.8
C-1089,18,5,Month-to-Month,37.52,7,0,187.6
C-1090,18,60,Two Year,106.68,9,0,6400.8
C-1091,64,1,Month-to-Month,48.25,9,0,48.25
C-1092,37,36,One Year,115.05,0,0,4141.8
C-1093,36,35,One Year,78.16,1,0,2735.6
C-1094,46,66,One Year,63.66,5,0,4201.56
C-1095,27,63,Month-to-Month,78.01,9,0,4914.63
C-1096,35,23,Two Year,71.67,4,0,1648.41
C-1097,45,9,Two Year,95.88,8,0,862.92
C-1098,52,34,Month-to-Month,48.25,4,0,1640.5
C-1099,60,46,One Year,55.31,1,0,2544.26
C-1100,64,4,Two Year,109.41,9,0,437.64
C-1101,48,30,One Year,114.65,3,0,3439.5
C-1102,44,3,Month-to-Month,109.26,8,0,327.78
C-1103,28,14,One Year,61.94,0,1,867.16
C-1104,66,60,Two Year,98.04,0,0,5882.4
C-1105,66,45,Two Year,67.63,6,0,3043.35
C-1106,55,34,One Year,69.75,2,0,2371.5
C-1107,22,45,Month-to-Month,40.47,9,0,1821.15
C-1108,25,61,One Year,79.11,1,0,4825.71
C-1109,51,16,Month-to-Month,38.61,8,0,617.76
C-1110,65,66,One Year,53.16,2,0,3508.56
C-1111,69,40,Two Year,105.5,1,0,4220.0
C-1112,29,17,Month-to-Month,40.71,7,0,692.07
C-1113,55,34,Month-to-Month,27.12,9,0,922.08
C-1114,18,16,Month-to-Month,26.9,5,0,430.4
C-1115,48,60,Two Year,114.08,5,1,6844.8
C-1116,21,66,One Year,70.69,9,0,4665.54
C-1117,66,66,Two Year,60.94,6,0,4022.04
C-1118,62,13,Month-to-Month,101.09,6,0,1314.17
C-1119,67,56,One Year,103.58,5,0,5800.48
C-1120,22,31,Two Year,53.22,3,0,1649.82
C-1121,47,34,Month-to-Month,89.36,8,0,3038.24
C-1122,41,39,Month-to-Month,97.11,5,0,3787.29
C-1123,20,67,Two Year,85.47,3,0,5726.49
C-1124,28,8,Two Year,35.16,2,0,281.28
C-1125,62,55,Two Year,107.59,3,0,5917.45
C-1126,21,27,Month-to-Month,73.91,2,1,1995.57
C-1127,43,53,Two Year,48.25,1,0,2557.25
C-1128,44,39,Month-to-Month,62.52,4,0,2438.28
C-1129,63,65,Two Year,23.76,1,0,1544.4
C-1130,60,17,Month-to-Month,32.79,5,0,557.43
C-1131,44,30,Month-to-Month,96.55,2,0,2896.5
C-1132,59,53,One Year,20.0,5,0,1060.0
C-1133,68,13,Two Year,61.66,9,0,801.58
C-1134,67,21,Two Year,72.25,8,0,1517.25
C-1135,23,19,Month-to-Month,25.46,0,0,483.74
C-1136,32,53,Month-to-Month,117.31,5,0,6217.43
C-1137,47,19,Month-to-Month,42.61,8,1,809.59
C-1138,59,57,One Year,50.42,3,0,2873.94
C-1139,54,25,One Year,50.39,1,0,1259.75
C-1140,54,31,Month-to-Month,43.04,3,0,1334.24
C-1141,59,55,Two Year,20.15,0,0,1108.25
C-1142,54,23,Two Year,92.93,2,1,2137.39
C-1143,52,32,One Year,116.68,9,0,3733.76
C-1144,40,62,One Year,42.43,8,0,2630.66
C-1145,23,10,Month-to-Month,86.3,9,0,863.0
C-1146,21,54,Two Year,94.19,4,0,5086.26
C-1147,35,52,Month-to-Month,104.84,5,0,5451.68
C-1148,26,20,One Year,62.26,2,0,1245.2
C-1149,66,32,Two Year,50.29,4,0,1609.28
C-1150,46,14,Two Year,52.53,7,0,735.42
C-1151,30,50,One Year,91.26,5,0,4563.0
C-1152,64,28,Month-to-Month,101.68,3,1,2847.04
C-1153,69,53,Month-to-Month,38.16,1,1,2022.48
C-1154,34,24,Two Year,57.09,8,1,1370.16
C-1155,62,22,One Year,110.19,0,0,2424.18
C-1156,49,30,Two Year,100.67,0,0,3020.1
C-1157,65,63,One Year,118.49,3,1,7464.87
C-1158,39,4,Month-to-Month,95.42,6,0,381.68
C-1159,21,59,One Year,59.32,0,0,3499.88
C-1160,22,8,Month-to-Month,79.06,8,1,632.48
C-1161,54,12,One Year,86.1,3,1,1033.2
C-1162,58,31,Two Year,27.85,2,0,863.35
C-1163,66,34,Month-to-Month,74.45,0,0,2531.3
C-1164,30,49,Two Year,90.93,9,0,4455.57
C-1165,51,57,Two Year,36.73,3,1,2093.61
C-1166,62,26,Month-to-Month,98.06,8,1,2549.56
C-1167,39,18,Month-to-Month,78.38,9,0,1410.84
C-1168,40,38,Two Year,115.22,5,0,4378.36
C-1169,68,50,Two Year,24.24,5,1,1212.0
C-1170,20,8,Two Year,46.53,0,0,372.24
C-1171,59,41,Two Year,80.16,9,0,3286.56
C-1172,51,6,Month-to-Month,49.66,1,1,297.96
C-1173,49,69,Month-to-Month,91.44,5,0,6309.36
C-1174,62,44,Two Year,95.9,1,0,4219.6
C-1175,68,64,One Year,30.25,2,0,1936.0
C-1176,66,29,One Year,71.39,3,0,2070.31
C-1177,38,28,Month-to-Month,70.89,4,1,1984.92
C-1178,63,11,Two Year,56.93,8,0,626.23
C-1179,61,65,Two Year,113.29,3,1,7363.85
C-1180,38,19,Month-to-Month,102.75,8,0,1952.25
C-1181,61,9,One Year,89.72,9,0,807.48
C-1182,28,27,One Year,91.43,2,0,2468.61
C-1183,56,34,One Year,66.17,7,0,2249.78
C-1184,21,44,Month-to-Month,112.1,0,0,4932.4
C-1185,68,68,One Year,89.46,8,0,6083.28
C-1186,18,15,Month-to-Month,92.9,8,0,1393.5
C-1187,45,51,Month-to-Month,106.17,9,0,5414.67
C-1188,41,13,Two Year,47.41,1,0,616.33
C-1189,52,49,One Year,100.71,3,0,4934.79
C-1190,30,70,Month-to-Month,39.52,7,0,2766.4
C-1191,64,56,One Year,54.53,6,0,3053.68
C-1192,51,51,One Year,53.56,0,0,2731.56
C-1193,28,37,Two Year,117.85,4,0,4360.45
C-1194,53,17,One Year,105.65,6,0,1796.05
C-1195,68,58,Two Year,90.12,3,0,5226.96
C-1196,34,29,Month-to-Month,92.71,0,1,2688.59
C-1197,52,33,One Year,76.21,8,1,2514.93
C-1198,35,60,Month-to-Month,114.71,4,0,6882.6
C-1199,57,55,One Year,69.63,1,0,3829.65
